"","Yorumlar","Sentiment","Duygu"
"48","şekil değiştirir seviyorummmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm",0.2,"Pozitif"
"49","süleymanğlu istiyoruz",-0.1,"Negatif"
"50","sktyi harcadılar sene",0.2,"Pozitif"
"51","zeitnot feed",0,"Nötr"
"52","menace oyun ola bilir",-0.4,"Negatif"
"53","konuyu efsaneye bağlaman üstadım",0,"Nötr"
"54","holyphoenix mii aga bee atmış",0.4,"Pozitif"
"55","<a anan",0.4,"Pozitif"
"56","şekil değişir",0.3,"Pozitif"
"57","takım kir orman girem west dia yim",0,"Nötr"
"58","sevyrederken yanımdaki öküz oyun oynuyor delircem",0,"Nötr"
"59","",0,"Nötr"
"60","lol girek",0.2,"Pozitif"
"61","yassahk gerdaşim yassahk🣳🣳🣳",0.4,"Pozitif"
"62","merhabalar cocuk degilde keske e sporcu deseydin iyiydi bide universitemde sinifima tanitmistim espor dedigimde spor diyenler olmustu",0.2,"Pozitif"
"63","halterci alaka mdlsidvne",0.3,"Pozitif"
"64","kafayı sıyırmış mü",0,"Nötr"
"65","galp lol",0.2,"Pozitif"
"66","",0,"Nötr"
"67","bariş sozum size degil e spor basit sananlar pc başında oturun konusun oyun saati katina cikariyor beyin saliselik anlari hesapliyor pc basinda gercek hayattaki aya esit hesap gerektiriyor yorgunluk inanilmaz buyuk aliskin olmama ragmen gunde oynayabiliyorum fazlasini bunyem kaldirmiyor",-0.3,"Negatif"
"68","<a anlıyorum yassah",0.4,"Pozitif"
"69","esporcu olunca görürsünüz ismi unutmayın",0.3,"Pozitif"
"70","<a arkadaşlarım futbol oynarken hakemlik denemesi yapan",0.2,"Pozitif"
"71","lol oynayananlarin gözü yaşlı",0,"Nötr"
"72","<a mavi salarız",0.2,"Pozitif"
"73","yalnız güzel mesaj verdin anlayanlar fark eder sadecd",0.5,"Pozitif"
"74","league legends viral reklam hahahahaha",-0.1,"Negatif"
"75","espor spor türüdür nedenini şöyle açıklayabilirim oyunlar genelde strateji üzerine v takımlar oluşturuluyor takımlar etapta karşı takımı durdurma üstün gelme adına strateji oluşturuyor buraya herşey net tam anlamıyla oynayabilmek sizinde dediğiniz üstün koordinasyona sahip olmanız gerekir mental açıdan iyi durumda olmanız gerekir stratejileri oluşturabilmek beyninizi zorlamanız gerekir satrancın spor dalı olduğunu düşünürsek e sport çoğu noktanın birbirinin aynısı olduğunu görebiliriz spor dalı adlandırabilmek fiziksel zorlayıcılık şart koşulmak zorunda onu anlayamadık türlü onu anladığımız zaman bizde ileriye gideceğiz e sport sıkıntımız oda yabancı dil bilmememiz tür oyunların genelde ingilizce olması biz oyuna başladığımızda ayımızı dil bilmediğimiz oyun dinamiklerini anlamakla geçiriyoruz",-0.2,"Negatif"
"76","buyuk hayallerimden e spor",0.8,"Pozitif"
"77","league legends oyununu bilmeme oynamama rağmen",0,"Nötr"
"78","spor başka ad koysunlar",0.2,"Pozitif"
"79","naru çöp",0.3,"Pozitif"
"80","<br>sen adamın dibisin",0.2,"Pozitif"
"81","kg ağlamak istiyorum",-0.3,"Negatif"
"82","muhteşem harikasınız",0.3,"Pozitif"
"83","iyi konuşmuş hemen anneme izletmeliyim☺",0.9,"Pozitif"
"84","ezreal adc sal",0.2,"Pozitif"
"85","muhtesemsin suleymanoglu rahmet ondan sonraki senede milyon nufus la legend cikarabilseydik 🕨",0.1,"Pozitif"
"86","deyerlerini iyi saygi esası iyi niyetle yapiyorsun",0.6,"Pozitif"
"87","",0,"Nötr"
"88","gg wp",0.1,"Pozitif"
"89","unutmadık",0.3,"Pozitif"
"90","ağabeyimize saygılar",0.3,"Pozitif"
"91","kozmik bilinç<br>hayâlinde birşeyi ettiği anda<br>hayâl âleminde enerji olarak<br>açiğa çikar<br>kozmik bilinç yâni tümel akıl hayâlinde şeyi ettiği anda hayâl âleminde enerji açığa enerji dalga boyları dediğimiz kendine has bilinçli birimler ışınsal yapı hâlinde çeşitli yoğunlaşma merhalelerinden geçerek nihâyet dahi kitleleşerek çeşitli gayesine uygun maddeleri meydana getirir nihayet ölümü yâni dönüşümü hasıl hâsıl olduğu anda gerçekte tekrar ışınsal yapıya dönüşmüştür siz tespit yoldan sonunda tekrar enerji hâline gelir böylece aslına dönmüş sonraki imajın temel elemanı yeni oluşum hâline gelmeği valla anlayamadım gönül söze acayip hattâ durmuş etti<br>anlayamamanız son derece bütün bunları anlayabilmeniz gönüllüğünüzden tamamıyla sıyrılıp öz yapınızda evreni kapsayabilecek bilinç düzeyine ulaşmanız gerekir ondan bütün sırları müşahede allahtir zâtiylasifatiylaesmâsiyla<br><br>gerisi hayâli hastir<br>hayâlin içine girer<br> zât sıfat esmâ aslında üç ayrı dediğiniz varlığınız kelimesini târif et nasıl varlıksın dediğim zaman dersin ki<br>canlı varlığım şuuurum birtakım şeylerin olmasını istiyorum diliyorum varlığım dediğin zaman hayat sıfatı<br>şuurum bilincim dediğin zaman ilim sıfatı<br>ilmimin gereği oluşturuyorum dediğin zaman irade sıfatı sıfatlar kelimesiyle işaret ettiğin varlığın özellikleri<br>bu özelliklerle birlikte defa sende çeşitli mânâları düşünme olayı başlıyor sayısız mânâlar esma boyutundur<br>sen şimdi beyninde hayâlimi görüyorsun gördüğünü sanıyorsun beyninde yokum bunun hayâli beynimde hayâlin diğerimize hayâlden ibaretiz<br>dünya hayatı dünyanın başka türlü rüya dünya rüyadır karmakarışık var<br>zâtıyla sıfatıyla esmâsıyla bâki allahtır gerisi hayâli hastır<br>ama dikkat edin gerisi dediğim zaman efal âleminin içine bakın neler bunların tümünü hayâle attık<br>işte arşi rahman rahman arşın üzerine ıstıva etti dendiği arşın üstü esmâ mertebesidir rahmâni vasıflardır esmâdır<br> arşin alti efal âlemidir sidrei müntehadan başlayıp alabildiğine giden efal âlemidir hayâli kebirdir<br> onun içine meleği girer insanı girer cinni girer insanı kâmili girer tüm âsar hayâl hayâlin hayâlin dışı dersen arşın fevki<br> lillahil vahidil kahhar<br>bize beş duyulu birimlere yaşadığımız evren gene bize makro mikro sayısız âlemler ancak dikkat edelim bütün bunlar gözle algıladığımız verilere böyledir",-0.1,"Negatif"
"92","hayâl<br>evrenin işinsal kökenli yapisidir<br>beyin dıştan gelen çeşitli dalga boylarındaki kozmik ışınları alır programlanışı sırasında bilgilendirilmediği konularda algıladıkları dahi onları değerlendiremez ayrıca kendisinin açılmamış alanlarının değerlendireceği sayısız dalga boylarını dahi gerçekte ayrı mânâ ihtiva eden evrendeki dalga boyu ışın sürekli beynimizi bombardıman mesajları çözmemiz canlıanlamlı varlıklarla iletişime girmemiz mümkün evren kesimiyle tamamen canlışuurlu varlık hâlinde yaşamına algılayabilene tamamiyle sayısız dalga boylarından ışınlardan kuantlardan oluşmuş evren evren içre evrenler boyutun algılama aracıyla bakabilirsek hayâl dediğimiz ışınsal kökenli yapıdır gerçekte bizler dahi ışınsal ancak yazık algılama sistemimizin beş duyu kayıtlı olması şimdilik gerçeği yaşamaktan bizi mahrum evren orijininde tekil yapı gerçekte tüm zerreler birbiriyle ilintili durumda olduğu yoğunlaşma aktivite düşünemediğimiz noktada bambaşka şeyleri etkilemekte harekete evrende birbirinden kopuk ayrı müstakil varlıklar onların özgür benlikleri iradeleri mevcut bilince hiçe nisbetle evren<br>salt enerjiden ibaret hayâldir<br>sanal varliktir<br>sonradan âdeme nisbetle âdeme âlem gerçektir ortada karşın âdemi âdemden evvel âlemi meydana getiren quotkozmik bilincequot nisbetle hayâldir yâni sanal bütün bunların başına tam varlıkları evren dediğin yapının aslı enerji denizi salt enerjinin elektromanyetik dalgalar adıyla varlığa bürünüp yoğunlaşmasıyla kat kat maddeye yaklaşması nihâyet maddeleşmesiyle tıpkı denizin dalgaları çeşitli görünümler alması gibi<br> aslında ayrı birer varlıkmışçasına isimlendirdiğimiz dalgaların denizden yâni sudan ayrı olmamasına rağmen ona müstakil varlığı varmışçasına isim vermemiz bunun arasında fark su salt enerji yerine ele alınırsa madde maddî varlıklar dahi salt enerjinin dalgaları mesâbesinde peki salt enerji dalgalanmadan evvel salt enerji dalgalanmadan evvel enerji varlığı hâlinde kendisine yön veren kozmik bilinçin imajında gerçekte el ân öyle<br> enerji yâni salt enerji zamanda bilince sahip akılla düzenli dalgalanma hâlinde evren adı altında açığa çıkmış<br> evet<br>aslında salt enerji dahi kozmik bilinç tümel akıl adını verdiğimiz aklın imajında idi bilincin imajında deniz dalgalar husûle geldikten gene enerji aklın imajından ortaya çıktı bundan safha safha evren meydana sebeple orijini yönüyle salt enerji denilen evrenin hayâtiyet sıfatının dahi bilincin imajından ortaya çıktığı anlaşılır kozmik bilince nisbetle bütün mevcûdat salt enerjiden ibaret hayâl hükmüne bilinç noktadan mutlak karanlıktan bilinmezlik anlaşılmazlıktan ibarettir hiçtir hiçliktir<br>ve quotel ânquot öyledir<br> hâlen elbette nitekim sizden neyse geçelim onların sözünü şimdilik<br> peki bütün evren hayâl oluyor nisbetle dalgaların varlığını borçlu olduğu salt enerjiye enerji sebebiyle edilen evreni imajında düşünen seyreden kozmik bilince diğer deyişle quothiçquote nisbetle hayâldir evren",-0.3,"Negatif"
"93","uzay <br>hava yoktur yoktur<br>yerçekimi de<br>karanlıktır cehennemi kalır indînde cenneti sütüyle besler hünerlerini seyreder<br>uzay varlığıyla etmiştir insi cinni seyreyler onlarda ateşte toprakta suda bunlardan meydana gelen tüm canlı kılar yaşarız biz suyla yaşarız toprakla ateşle yaşarız biz beşinci elementimiz uzaydır",0.2,"Pozitif"
"94","elektronik spor değilde elektronik başka bişey olmalı şahsi görüşüm spor",0,"Nötr"
"95","liseye başlarken knight onlineda çarı satmayaydık iyiydi",0.2,"Pozitif"
"96","twitch",0,"Nötr"
"97","kasım bugün",0.2,"Pozitif"
"98","elektronik yapılan oyundur spor fiziksel yapılan eylemdir",0.5,"Pozitif"
"99","dislike atanları cidden anlayamıyorum neyini beğenmiyorsunuz emin olun e spor camiası bundan güzel anlatılamazdı harikasın",-0.5,"Negatif"
"100","e spor yoktur emperyalizmin farklı yansıması vardır herşey para içindir",0.1,"Pozitif"
"101","sondaki şarkısı tüm tüylerimi ayağa kaldırdı başarılı insanlara ihtiyacımız ruhun şad cep herkülü ayrı teşekkür efsaneyi hatırlayıp andığın",0.9,"Pozitif"
"102","sonunda istemsizce ağlamak istedim",-0.2,"Negatif"
"103","uzaylı çıktım vidyonun sonunda dünyaya döndüm",0.5,"Pozitif"
"104","niyeyse legends şarkısını duyduğumd aklıma faker ronaldinhosu müziğin elvis presleyi bambaşka tarzı canlı yayınlarını izlerseniz hayatı nasıl yaşadığını ayrıntılı anlayabilirsiniz minimalist yaşamı benimsemiş",0.3,"Pozitif"
"105","",0,"Nötr"
"106","mid or feed eğeğğeğeğeğe",0,"Nötr"
"107","spor",0.4,"Pozitif"
"108","",0,"Nötr"
"109","buram buram kalite",0.8,"Pozitif"
"110","güçlü çar",0.7,"Pozitif"
"111","güçlü çar",0.7,"Pozitif"
"112","iyi anlatılamazdı sanırım",0.9,"Pozitif"
"113","elektronik spor bilimsel gelisimlere pozitif evrime destek veriyor desteklenemelidir",0.7,"Pozitif"
"114","günlük doz alıp giriyorum oyuna",-0.5,"Negatif"
"115","e spor cu olma yolunda ilerliyorum gün okuldan geldiğimde ödevlerim varsa yapıyorum saatlik tekrardan bilgisayarın dümesine basıyorum antreman açılırken mutfaktan litre su alıp geliyorum lole giriyorum maç dereceli attıktan kalkıp egzersiz yapıyorum vucudum zarar görmesin camlar ı açık bırakıyorum içeri temiz hava girebilsin yaptığım doğru yanlış",-0.6,"Negatif"
"116","anlattıklarını konu alan quotquan zhi gao shouquot adlı anime",0.4,"Pozitif"
"117","ismimden anlaşılacağı üzere hayattaki hedefim elektronik sporcu kim derse nerden hayalimden şaşmayacağım senedir yola baş koydum senedir league legends oynuyorum",0.3,"Pozitif"
"118","boş",-0.8,"Negatif"
"119","ağliyodum nerseyse",0.3,"Pozitif"
"120","günülk az oynuyom",0.5,"Pozitif"
"121","ağşamaca oyun oynuyolar kalksınlarda bizimlen tv dizi izlesin diyen türk toplumu aga salın la yeter dizileri ordan buradan çalıp saçma sapan çevirip çevirip önümüze koyuyolar bırakın oyun dedikleri sistemde önümüze taşı koyuyorlar bırakın oyun üretirken olmazsa beynimizi kullanmayı et parçası yerine konmamış oluruz",-0.7,"Negatif"
"122","hakikatten",0.3,"Pozitif"
"123","sondaki şarkının adı söyleyenin adını bilen",0.1,"Pozitif"
"124","nasıl az izlenir",0.9,"Pozitif"
"125","yaşasın espor",0.3,"Pozitif"
"126","lecınts nevır daaay",0.3,"Pozitif"
"127","yapıyorum uyuyorum oh mis diyorum",0.7,"Pozitif"
"128","yanlışlıkla belanı bağırdım",0.3,"Pozitif"
"129","gta in turnuvası çıkmazsa yokum",0,"Nötr"
"130","legends",0.5,"Pozitif"
"131","",0,"Nötr"
"132","esport rules survival pubg prosuyum beyler",0.2,"Pozitif"
"133","la bilip bilmeden konuşmayin sora oyun hakkinda kötü yorumlar yapiyonuz",0.3,"Pozitif"
"134","ejder gerçek robot yoksa montaj",0.2,"Pozitif"
"135","bitiriş rahmet eylesin haltercimizdi",0.9,"Pozitif"
"136","cs go xantares",0.1,"Pozitif"
"137","ejderhanın gerçek olmadığını bilenler +",-0.2,"Negatif"
"138","legends",0.5,"Pozitif"
"139","legends dieeeeeeeee",0.4,"Pozitif"
"140","espor güsel",0.3,"Pozitif"
"141","efsanelere maara işlemezquot",0.3,"Pozitif"
"142","sanana kardeşim senimi ilgilendiriyor adamlar parasinialiyor çatur çutur ağla",-0.3,"Negatif"
"143","ap ad jungle mid solo detek edithepsine varim mid master yi",0.2,"Pozitif"
"144","barıs lol oynsa kesinazir oyar",0,"Nötr"
"145","gayet spordur okulda turnuva düzenlemeye çalışıyoruz videoyuda ihtimalle hocama izletirim",0.8,"Pozitif"
"146","biliyodum ilgi çekici",0.8,"Pozitif"
"147","e spor diğerlerine farklı spor insanların yarattığı sanal ortamda gene kontrol insanlara verilerek kalırsa kisitli dünya yapılan yarışmalara e spor diyoruz işin içine spor kelimesi girince yer alan oyuncuların yapabilecekleri sınırsız olmalı sanal ortam insan yapımı sonuçta tahmin edemiyeceğiniz hatalar karşınıza çıkabiliyor",0.4,"Pozitif"
"148","elektronik denmesinin sebebi gmail hotmail tarzı şeylere genel elektronik posta diyorsak online oyun oynayarak rekabet turnuvaları düzenleniyorsa elektronik spor türkçe düşününce sanal spor mantıklı tabi",0.5,"Pozitif"
"149","sonunda sağlık",0.9,"Pozitif"
"150","sende efsanemizsin sakın ölme",0,"Nötr"
"151","lol oynadığım zamanlar fakat süre zarar verdiğini uygun olmadığını yeteneğimin olmadığını fark ettim yıldır oynamıyorum şimdi kendimi vücut geliştirmeye verdim lol ün bıraktığı avuç güzel insan legends şarkısı gelen motivasyon",-0.3,"Negatif"
"152","oyun oynuyor musun",0.2,"Pozitif"
"153","legends for dear",0.5,"Pozitif"
"154","espor güzel anlatılamazdı muhteşem",0.9,"Pozitif"
"155","",0,"Nötr"
"156","commended",0.9,"Pozitif"
"157","tr aboneye izlenmeye sahip olmayı hakeden kişi özcanken yaş altı kitlesiyle enes baturun olması üzücü durum",-0.3,"Negatif"
"158","fransız esprisiiii",0.3,"Pozitif"
"159","izlerken vadi reklamı geldi",0.3,"Pozitif"
"160","ruhu şad kapanış",0.9,"Pozitif"
"161","❤",0.3,"Pozitif"
"162","bilinç benliğimizin içindeki yürütür",0.7,"Pozitif"
"163","spor deilde yetenekle binevi zeka sporu oyun oynarken gerçek zeka gerekiyor zeka sporu",0.7,"Pozitif"
"164","son anda",0.2,"Pozitif"
"165","twitche geri gidiyom abem",-0.4,"Negatif"
"166","sport",0.2,"Pozitif"
"167","legends",0.5,"Pozitif"
"168","spordur",0.3,"Pozitif"
"169","tofaşların arkasında yazıyor",0,"Nötr"
"170","tofaşların arkasında yazıyor",0,"Nötr"
"171","abem",0.3,"Pozitif"
"172","<a",0.6,"Pozitif"
"173","gob long",0.1,"Pozitif"
"174","seninde yan etkilerin <a izlemekten başıma ağrı girdi haala izliyorum",-0.6,"Negatif"
"175","",0,"Nötr"
"176","",0,"Nötr"
"177","gogb 🗢 longb olmasın acep",0.3,"Pozitif"
"178","gerek sonundaki güzel insanı hatırlatman gerek konusu ana izlediğim iyi",0.9,"Pozitif"
"179","sondaki süleyman oğlu legends dies güzel uyuşmuş",0.8,"Pozitif"
"180","adıma dünyanın içindekiler adına teşekkür",0.8,"Pozitif"
"181","space soldiers",0,"Nötr"
"182","cep herkülü",0.1,"Pozitif"
"183","küçükken metin oynamıştım iyiki hiçbirşey olmadı lole başladım sezon ten beri oynuyorum amatör",0.8,"Pozitif"
"184","mid sal",0,"Nötr"
"185","final macini huyatv den çinde m kişi izledi",0.2,"Pozitif"
"186","süper anlatm lol oyun bunuda söylemek lazm",0.9,"Pozitif"
"187","tam sizin konuyu anlatan film quotbaşlat ready player onequot izlemenizi tavsiye ilham kaynağı gelecekte oyun dünyasının nasıl hal aldığını anlatan mühteşem film",0.6,"Pozitif"
"188","stt hikâyelerin hücrelerin kontrol edilebilirliği açısından şeyler yapabilir misin",0.5,"Pozitif"
"189","aileme izlettim dovduler anlamıyorum",0.3,"Pozitif"
"190","sonunda süleymanoğlunu görünce duygulandım",0.5,"Pozitif"
"191","lolu sildim az önce razı",0.5,"Pozitif"
"192","türkiye savaş cahillik üzerine insanların ilham duyguları iyilikleri mutluluk duyacağı şeyler sevdiği şeyler elinden alınıp katı insan haline getiriliyor inancımızı öldürüyorlar aslında hepimiz salağın tekiyiz ayakta uyutuluyoruz haberimiz bunlar sizin oy verdiğiniz katiller gerçek hayallerimizi öldüren pezevenkler koyun olmayı sevin",-0.2,"Negatif"
"193","konuda alanda olayları objektif anlatman detaylandırman muhteşemsin ellerine ağzına yüreğine sağlık",0.8,"Pozitif"
"194","yorumu şimdi atmak istedim bazı insanlar üzüyor elektronik spor tamami göz el koordinasyonu içerir oynamayı bırakan ay oynamayı bırakan oyuncu reflekslerinde oyun bilgisi dikkatinda yavaşlama hamlaşma hisseder oyunu eskisi iyi oynayabilmek antreman yapması gerekir sporda olduğu ayrıca spor onla kıyaslanamaz günümüzde satrançta spor sayılıyor beyin denen kası çalıştırıyor esporda beyin göz el arasında üçgeni karar verme yeteneğini strateji yeteneğini geliştiren spordur nevi satranç yüzden profesyonel sporcular genelde bireysel takım antremanı yaparlar geliştirdikleri yetenekler genellikle liderlik stratejik düşünce refleks göz el koordinasyonu karar verme yeteneği takım çalışması bireysel yetenek oyun analizi hızlı reaksiyon vermek sürü yeteneğini geliştirirler ay oyunu bıraksalar yeteneklerinde yavaşlama hamlaşma diğer oyunculara geriye düşme gözlemenebilir kısaca esporu bırakırsan bazı yeteneklerin körelir ayrıca unutmayalım liderlik oyun analizi stratejik düşünme karar verme takım oyunu bireysel yetenek futbol basketbol sürü spor dalında mevcuttur spor fiziksel ayrıca zihinsel oluşumdur hani dağcılık bisiklet koşu diyorsunuz siz fiziksel düşünüyorsunuz takımla oynanan bütün sporlarda zihinsel yetenekler fizikseller önemlidir spor fiziksel zamanda zihinsel gelişim sağlayan oluşumlara denir düşüncelerinizden az buçuk vazgeçin ilerlemeye gözünü kapatan geri kalmaya mahkumdur",-0.2,"Negatif"
"195","<a japoneyi görünce duygulandım 🐠",0.4,"Pozitif"
"196","<a <br>lol",0.7,"Pozitif"
"197","spor degildir",0.5,"Pozitif"
"198","ejderha alaka onlar öldü eskiden yaşıyormuş",-0.5,"Negatif"
"199","starcraft deki favori oyuncun takımın adını paylaşabilir misin",0.7,"Pozitif"
"200","esporu midi fenerbahçeye orta saha alalım diyen amcalar gelmeden",0.1,"Pozitif"
"201","cevabi nuktedanlar verdi",0.3,"Pozitif"
"202","anlaşılır açık dil",0.7,"Pozitif"
"203","duygulandim agliyacam",0.3,"Pozitif"
"204","minecraft ciyim varmı",0.3,"Pozitif"
"205","insan dur açmışım kere bitsin geçeyim başka videoya dedirtebiliyosa olay bitmiştir orkun kurban sesine adamın dibisin",-0.2,"Negatif"
"206","nerede şansimiz <br>gecenin yarısı yaşındaki çocuklar giriyor oyunun içine mıçıyor keşke bizimde sistemimiz",-0.2,"Negatif"
"207","sanki çocuklar olmadı <br>lol evrenini seven fan topluluğu denmesini tercih",0.2,"Pozitif"
"208","oh kadim ejder",0.4,"Pozitif"
"209","hayalim esporcu ebeveynlerimiz gereksiz konularla oyun kötülüyor neymiş silah varmış lan git çocuk oyunda silah gördü kafalarına mısıkacak insanların sanmıyorum kendini kaptırmadan oynamak önemli he birde onlar yalancı ların imaj giydiklerini kapalı kıyafetlerini zengin olduklarına inanıyorsunuz gano excel yapıyorsunuz kadını mübarek sanıp üye oluyorsunuz ona kazandırıyorsunuz ayda zengin olcam diyip kendinizi kandırıyorsunuz",-0.6,"Negatif"
"210","<a",0.6,"Pozitif"
"211","lol",0,"Nötr"
"212","esporı biliyorum sevdiğim izliyorum seviliyorsunlt",0.9,"Pozitif"
"213","intihar olayı esporun yan etkisi paranın yan etkisi",-0.3,"Negatif"
"214","oynun adıl legue legend lol oynamanızı tafsiye",0.4,"Pozitif"
"215","",0,"Nötr"
"216","lol",0.3,"Pozitif"
"217","starcraft faovorim aydır oynuyorum starcraft yi desteklerini bekliyorum",0.7,"Pozitif"
"218","",0,"Nötr"
"219","elektronik spor lolden öncede vardı keşke lol sınırlamasaydın",0.1,"Pozitif"
"220","lardanda bahsetseydin bak sinir oldum",-0.9,"Negatif"
"221","",0,"Nötr"
"222","",0,"Nötr"
"223","sonunda",0.8,"Pozitif"
"224","uyumlu zeka dolu mesaj",0.9,"Pozitif"
"225","sonuna süleymanoğlunu koyman",0.1,"Pozitif"
"226","satranç düşünülmeli",0.3,"Pozitif"
"227","thaldirin reiz",0.3,"Pozitif"
"228","zamanlama süper",0.9,"Pozitif"
"229","oyun oynayanlara asosyal diyorlar oynadığımız oyunda nice arkadaşlıklar ediniyoruz",0.7,"Pozitif"
"230","",0,"Nötr"
"231","bronz elosunu görmeden league legend ı biliyor sayılmaszın anlayan anladı 🟮🟮🟮",0.6,"Pozitif"
"232","rito buff pls",0,"Nötr"
"233","yasuo mid sal",0.2,"Pozitif"
"234","sizi takip etmeye çoook önce başlamış an gururlu doğru yerdeyim hissi varsa emeğinize ilminize bereket",0.9,"Pozitif"
"235","videoya nasıl like atabilirim",0,"Nötr"
"236","nasıl atarlı üst koridor orta koridor demek",0,"Nötr"
"237","piyasanın",0.3,"Pozitif"
"238","zama offline oyun oynarim",0.3,"Pozitif"
"239","bayağı iyi",0.9,"Pozitif"
"240","legends",0.5,"Pozitif"
"241","spordur",0.3,"Pozitif"
"242","<i>selam<i>",0.6,"Pozitif"
"243","spor insanı fiziksel mental açıdan geliştirir e spor gerginlik anksiyete bozukluğu yapar okudunsa kalp at",0.6,"Pozitif"
"244","türk aklı şimdi yaptı kesin lolden deli para almıştır",0.8,"Pozitif"
"245","muhteşem",0.3,"Pozitif"
"246","",0,"Nötr"
